ANO_EXERCICIO;COD_REFERENCIA;COD_ESFE;COD_ORUN_O;PRD_TBO0ORUN_1_TIT_CLASSIFICADOR;COD_ORUN_U;PRD_TBO0ORUN_TIT_CLASSIFICADOR;COD_FUNC;PRD_TBO0FUNC_TIT_CLASSIFICADOR;COD_SBFU;PRD_TBO0SBFU_TIT_CLASSIFICADOR;COD_PROG;PRD_TBO0PROG_TIT_CLASSIFICADOR;COD_ACAO;NOM_ACAO;COD_LOCG;NOM_LOCG;COD_BEMS;DES_BEM_SERVICO;COD_UNIDADE_MED;TIT_UNIDADE_MED
2008;848567;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;82550000;Gerenciamento das Políticas da Educação Profissional;82550001;Nacional;0000;-;205;-
2008;848560;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;83730000;Gerenciamento das Políticas da Educação Básica;83730001;Nacional;0000;-;205;-
2008;848599;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1073;Brasil Universitário;22720000;Gestão e Administração do Programa;22720001;Nacional;0000;-;205;-
2008;848794;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1374;Desenvolvimento da Educação Especial;22720000;Gestão e Administração do Programa;22720001;Nacional;0000;-;205;-
2008;848900;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1377;Educação para a Diversidade e Cidadania;22720000;Gestão e Administração do Programa;22720001;Nacional;0000;-;205;-
2008;871309;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;126;Tecnologia da Informação;1067;Gestão da Política de Educação;41720000;Serviços de Comunicação da Rede Nacional de Ensino e Pesquisa;41720001;Nacional;2637;Ponto de rede mantido ;73;unidade
2008;891380;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;128;Formação de Recursos Humanos;1061;Brasil Escolarizado;84340000;Produção e Veiculação de Programas, Materiais Pedagógicos e de Conteúdos Multimídia para a Educação Pública;84340001;Nacional;ABGI;Material multimídia disponibilizado;1;unidade
2008;830683;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;128;Formação de Recursos Humanos;1067;Gestão da Política de Educação;45720000;Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação;45720001;Nacional;1671;Servidor capacitado;2;unidade
2008;891381;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;128;Formação de Recursos Humanos;1448;Compromisso Todos pela Educação;84290000;Capacitação e Formação Inicial e Continuada, a Distância, de Professores e Profissionais para a  Educação Pública;84290001;Nacional;1111;Profissional capacitado;72;unidade
2008;830815;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;131;Comunicação Social;1060;Brasil Alfabetizado e Educação de Jovens e Adultos;46410000;Publicidade de Utilidade Pública;46410001;Nacional;0000;-;205;-
2008;830816;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;131;Comunicação Social;1062;Desenvolvimento da Educação Profissional e Tecnológica;46410000;Publicidade de Utilidade Pública;46410001;Nacional;0000;-;205;-
2008;836350;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;131;Comunicação Social;1067;Gestão da Política de Educação;46410000;Publicidade de Utilidade Pública;46410001;Nacional;0000;-;205;-
2008;848793;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;131;Comunicação Social;1374;Desenvolvimento da Educação Especial;46410000;Publicidade de Utilidade Pública;46410001;Nacional;0000;-;205;-
2008;241575;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;00570000;Contribuição à Organização dos Estados Ibero-Americanos para a Educação, a Ciência e a Cultura - OEI;00570001;Nacional;0000;-;205;-
2008;888972;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;007B0000;Contribuição ao Programa das Nações Unidas para o Desenvolvimento - PNUD;007B0001;Nacional;0000;-;205;-
2008;221621;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;01450000;Contribuição à Organização dos Estados Americanos - OEA;01450001;Nacional;0000;-;205;-
2008;221613;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;01530000;Contribuição à Organização das Nações Unidas para a Educação, a Ciência e a Cultura - UNESCO;01530001;Nacional;0000;-;205;-
2008;888999;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;01910000;Contribuição à Rede de Informação Tecnológica Latino-Americana - RITLA;01910001;Nacional;0000;-;205;-
2008;808993;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;03640000;Contribuição ao Fundo para o Setor Educacional do MERCOSUL;03640001;Nacional;0000;-;205;-
2008;883130;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;212;Cooperação Internacional;0681;Gestão da Participação em Organismos Internacionais;0E440000;Contribuição ao Fundo das Nações Unidas para a Infância - UNICEF;0E440056;Nacional;0000;-;205;-
2008;830420;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;306;Alimentação e Nutrição;0750;Apoio Administrativo;20120000;Auxílio-Alimentação aos Servidores e Empregados;20120053;No Distrito Federal;0700;Servidor beneficiado;4;unidade
2008;830417;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;331;Proteção e Benefícios ao Trabalhador;0750;Apoio Administrativo;20110000;Auxílio-Transporte aos Servidores e Empregados;20110053;No Distrito Federal;0700;Servidor beneficiado;4;unidade
2008;891305;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;0A130000;Concessão de Bolsa-Auxílio para Formação Profissional - PROEJA;0A130001;Nacional;0051;Bolsa concedida;1;unidade
2008;891386;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;10FJ0000;Implantação da Escola Agrotécnica  Federal de São Raimundo das Mangabeiras - MA;10FJ0101;No Município de São Raimundo das Mangabeiras - MA;9267;Escola implantada;191;unidade
2008;891531;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;10FU0000;Implantação da Escola Técnica Federal de Brasília;10FU0053;No Distrito Federal;9267;Escola implantada;191;unidade
2008;880487;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1H070000;Implantação da Escola Agrotécnica Federal de Marabá - PA;1H070101;No Município de Marabá - PA;9267;Escola implantada;191;unidade
2008;891385;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1I710000;Implantação da Escola Técnica Federal do Mato Grosso do Sul;1I710101;No Município de Campo Grande - MS;9267;Escola implantada;191;unidade
2008;891387;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1I730000;Implantação da Escola Técnica Federal do Acre;1I730101;No Município de Rio Branco - AC;9267;Escola implantada;191;unidade
2008;891388;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1I740000;Implantação da Escola Técnica Federal do Amapá;1I740101;No Município de Macapá - AP;9267;Escola implantada;191;unidade
2008;881390;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1I750000;Implantação da Escola Técnica Federal de Canoas - RS;1I750101;No Município de Canoas - RS;9267;Escola implantada;191;unidade
2008;880498;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1I770000;Implantação da Escola Técnica Federal de Rondônia;1I770011;No Estado de Rondônia;9267;Escola implantada;191;unidade
2008;880499;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1I780000;Implantação da Escola Agrotécnica Federal de Nova Andradina - MS;1I780101;No Município de Nova Andradina - MS;9267;Escola implantada;191;unidade
2008;832855;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;63530000;Formação de Técnicos Empreendedores na Educação Profissional e Tecnológica;63530001;Nacional;AABS;Projetos implementados;1;unidade
2008;832969;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;63800000;Fomento ao Desenvolvimento da Educação Profissional;63800001;Nacional;0424;Instituição apoiada;2;unidade
2008;891318;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;82520000;Educação Profissional e Tecnológica a Distância -  E-TEC Brasil ;82520001;Nacional;1154;Vaga ofertada ;2;unidade
2008;891384;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;82700000;Desenvolvimento e Implementação do Sistema Nacional de Certificação Profissional;82700001;Nacional;ABFK;Catálogo desenvolvido;1;unidade
2008;891319;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;82720000;Implementação e Manutenção do Sistema de Informação da Educação Profissional;82720001;Nacional;8258;Subsistema implantado;172;unidade
2008;891532;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;86500000;Reestruturação da Rede Federal de Educação Profissional e Tecnológica;86500001;Nacional;0827;Unidade reestruturada;2;unidade
2008;891533;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;86520000;Modernização das Redes Públicas Estadual e Municipal de Educação Profissional e Tecnológica;86520001;Nacional;ABEK;Escola modernizada;1;unidade
2008;891307;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;009E0000;Concessão de Benefício a Estudantes Estrangeiros em Graduação no Brasil;009E0001;Nacional;0051;Bolsa concedida;1;unidade
2008;869923;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;0A120000;Concessão de Bolsa de Permanência no Ensino Superior;0A120001;Nacional;0051;Bolsa concedida;1;unidade
2008;880560;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;1H960000;Implantação da Universidade Federal do Pampa;1H960043;No Estado do Rio Grande do Sul;8038;Vaga disponibilizada;78;unidade
2008;830649;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;40050000;Apoio à Residência Multifuncional;40050001;Nacional;2902;Médico-residente mantido ;2;unidade
2008;830694;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;44130000;Treinamento Especial para Alunos de Graduação de Entidades de Ensino Superior (PET);44130001;Nacional;0047;Aluno treinado ;1;unidade
2008;830631;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;63280000;Universidade Aberta e a Distância;63280001;Nacional;8038;Vaga disponibilizada;78;unidade
2008;830645;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;63440000;Credenciamento dos Cursos de Graduação e de Instituições Públicas e Privadas de Ensino Superior;63440001;Nacional;0395;Curso avaliado ;2;unidade
2008;891547;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;82820000;Reestruturação e Expansão das Universidades Federais - REUNI;82820001;Nacional;0424;Instituição apoiada;2;unidade
2008;848598;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1073;Brasil Universitário;85510000;Complementação para o Funcionamento das Instituições Federais de Ensino Superior;85510001;Nacional;0424;Instituição apoiada;2;unidade
2008;880569;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;364;Ensino Superior;1377;Educação para a Diversidade e Cidadania;2C680000;Fomento à Inclusão Social e Étnico-racial na Educação Superior;2C680001;Nacional;0301;Projeto apoiado;1;unidade
2008;830414;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;365;Educação Infantil;0750;Apoio Administrativo;20100000;Assistência Pré-Escolar aos Dependentes dos Servidores e Empregados;20100053;No Distrito Federal;1834;Criança de 0 a 6 anos atendida;2;unidade
2008;891275;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;366;Educação de Jovens e Adultos;1060;Brasil Alfabetizado e Educação de Jovens e Adultos;85260000;Apoio a Iniciativas para Melhoria da Qualidade da Educação de Jovens e Adultos;85260001;Nacional;0301;Projeto apoiado;1;unidade
2008;891564;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;367;Educação Especial;1374;Desenvolvimento da Educação Especial;82600000;Promoção de Acessibilidade na Educação;82600001;Nacional;ABEL;Instituição adaptada;1;unidade
2008;848792;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;367;Educação Especial;1374;Desenvolvimento da Educação Especial;83710000;Educação Especial como Fator de Inclusão Escolar;83710001;Nacional;0877;Escola atendida;2;unidade
2008;871294;10;26000O;Ministério da Educação;26101U;Ministério da Educação;28;Encargos Especiais;843;Serviço da Dívida Interna;0905;Operações Especiais: Serviço da Dívida Interna (Juros e Amortizações)                                         ;02830000;Amortização e Encargos de Financiamento da Dívida Contratual Interna;02830001;Nacional;0000;-;205;-
2008;871295;10;26000O;Ministério da Educação;26101U;Ministério da Educação;28;Encargos Especiais;844;Serviço da Dívida Externa;0906;Operações Especiais: Serviço da Dívida Externa (Juros e Amortizações)                                         ;02840000;Amortização e Encargos de Financiamento da Dívida Contratual Externa;02840001;Nacional;0000;-;205;-
2008;848246;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;122;Administração Geral;1374;Desenvolvimento da Educação Especial;09HB0000;Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais;09HB0001;Nacional;0000;-;205;-
2008;831984;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;128;Formação de Recursos Humanos;1067;Gestão da Política de Educação;45720000;Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação;45720033;No Estado do Rio de Janeiro;1671;Servidor capacitado;2;unidade
2008;848791;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;128;Formação de Recursos Humanos;1374;Desenvolvimento da Educação Especial;63190000;Capacitação de Profissionais para a Área da Surdez;63190001;Nacional;1111;Profissional capacitado;72;unidade
2008;830669;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;306;Alimentação e Nutrição;0750;Apoio Administrativo;20120000;Auxílio-Alimentação aos Servidores e Empregados;20120033;No Estado do Rio de Janeiro;0700;Servidor beneficiado;4;unidade
2008;830668;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;331;Proteção e Benefícios ao Trabalhador;0750;Apoio Administrativo;20110000;Auxílio-Transporte aos Servidores e Empregados;20110033;No Estado do Rio de Janeiro;0700;Servidor beneficiado;4;unidade
2008;830667;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;365;Educação Infantil;0750;Apoio Administrativo;20100000;Assistência Pré-Escolar aos Dependentes dos Servidores e Empregados;20100033;No Estado do Rio de Janeiro;1834;Criança de 0 a 6 anos atendida;2;unidade
2008;891545;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;367;Educação Especial;1374;Desenvolvimento da Educação Especial;61410000;Profissionalização da Pessoa Surda;61410033;No Estado do Rio de Janeiro;9206;Pessoa surda qualificada;191;unidade
2008;848788;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;367;Educação Especial;1374;Desenvolvimento da Educação Especial;63210000;Funcionamento do Instituto Nacional de Educação de Surdos;63210101;No Município de Rio de Janeiro - RJ;2155;Unidade administrada ;85;unidade
2008;848786;10;26000O;Ministério da Educação;26104U;Instituto Nacional de Educação de Surdos;12;Educação;573;Difusão do Conhecimento Científico e Tecnológico;1374;Desenvolvimento da Educação Especial;82430000;Produção e Disseminação do Conhecimento nas Áreas da Surdez e da Deficiência Visual;82430001;Nacional;2447;Estudo disseminado ;2;unidade
2008;891546;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;122;Administração Geral;1374;Desenvolvimento da Educação Especial;09HB0000;Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais;09HB0033;No Estado do Rio de Janeiro;0000;-;205;-
2008;831985;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;128;Formação de Recursos Humanos;1067;Gestão da Política de Educação;45720000;Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação;45720033;No Estado do Rio de Janeiro;1671;Servidor capacitado;2;unidade
2008;830673;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;306;Alimentação e Nutrição;0750;Apoio Administrativo;20120000;Auxílio-Alimentação aos Servidores e Empregados;20120033;No Estado do Rio de Janeiro;0700;Servidor beneficiado;4;unidade
2008;830672;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;331;Proteção e Benefícios ao Trabalhador;0750;Apoio Administrativo;20110000;Auxílio-Transporte aos Servidores e Empregados;20110033;No Estado do Rio de Janeiro;0700;Servidor beneficiado;4;unidade
2008;830607;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;364;Ensino Superior;1073;Brasil Universitário;40050000;Apoio à Residência Multifuncional;40050033;No Estado do Rio de Janeiro;2902;Médico-residente mantido ;2;unidade
2008;830671;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;365;Educação Infantil;0750;Apoio Administrativo;20100000;Assistência Pré-Escolar aos Dependentes dos Servidores e Empregados;20100033;No Estado do Rio de Janeiro;1834;Criança de 0 a 6 anos atendida;2;unidade
2008;848787;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;367;Educação Especial;1374;Desenvolvimento da Educação Especial;61350000;Distribuição de Material Especializado e de Livros e Textos no Sistema Braile;61350033;No Estado do Rio de Janeiro;1105;Exemplar distribuído;72;unidade
2008;848785;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;367;Educação Especial;1374;Desenvolvimento da Educação Especial;63180000;Funcionamento do Instituto Benjamin Constant - IBC;63180033;No Estado do Rio de Janeiro;2155;Unidade administrada ;85;unidade
2008;891565;10;26000O;Ministério da Educação;26105U;Instituto Benjamin Constant;12;Educação;573;Difusão do Conhecimento Científico e Tecnológico;1374;Desenvolvimento da Educação Especial;82430000;Produção e Disseminação do Conhecimento nas Áreas da Surdez e da Deficiência Visual;82430001;Nacional;2447;Estudo disseminado ;2;unidade
2008;891317;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;122;Administração Geral;1061;Brasil Escolarizado;09HB0000;Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais;09HB0001;Nacional;0000;-;205;-
2008;831986;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;128;Formação de Recursos Humanos;1067;Gestão da Política de Educação;45720000;Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação;45720033;No Estado do Rio de Janeiro;1671;Servidor capacitado;2;unidade
2008;830677;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;306;Alimentação e Nutrição;0750;Apoio Administrativo;20120000;Auxílio-Alimentação aos Servidores e Empregados;20120033;No Estado do Rio de Janeiro;0700;Servidor beneficiado;4;unidade
2008;830676;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;331;Proteção e Benefícios ao Trabalhador;0750;Apoio Administrativo;20110000;Auxílio-Transporte aos Servidores e Empregados;20110033;No Estado do Rio de Janeiro;0700;Servidor beneficiado;4;unidade
2008;830678;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;361;Ensino Fundamental;1061;Brasil Escolarizado;40010000;Funcionamento do Ensino Fundamental na Rede Federal;40010033;No Estado do Rio de Janeiro;0014;Aluno matriculado;1;unidade
2008;830528;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;362;Ensino Médio;1061;Brasil Escolarizado;29910000;Funcionamento do Ensino Médio na Rede Federal;29910033;No Estado do Rio de Janeiro;0014;Aluno matriculado;1;unidade
2008;830675;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;12;Educação;365;Educação Infantil;0750;Apoio Administrativo;20100000;Assistência Pré-Escolar aos Dependentes dos Servidores e Empregados;20100033;No Estado do Rio de Janeiro;1834;Criança de 0 a 6 anos atendida;2;unidade
2008;830389;10;26000O;Ministério da Educação;26201U;Colégio Pedro II;28;Encargos Especiais;846;Outros Encargos Especiais;0901;Operações Especiais: Cumprimento de Sentenças Judiciais                                                       ;00050000;Cumprimento de Sentença Judicial Transitada em Julgado (Precatórios) devida pela União, Autarquias e Fundações Públicas;00050033;No Estado do Rio de Janeiro;0000;-;205;-
2008;848487;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;122;Administração Geral;1062;Desenvolvimento da Educação Profissional e Tecnológica;09HB0000;Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais;09HB0001;Nacional;0000;-;205;-
2008;830469;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;128;Formação de Recursos Humanos;1067;Gestão da Política de Educação;45720000;Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação;45720027;No Estado de Alagoas;1671;Servidor capacitado;2;unidade
2008;832424;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;306;Alimentação e Nutrição;0750;Apoio Administrativo;20120000;Auxílio-Alimentação aos Servidores e Empregados;20120027;No Estado de Alagoas;0700;Servidor beneficiado;4;unidade
2008;832300;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;331;Proteção e Benefícios ao Trabalhador;0750;Apoio Administrativo;20110000;Auxílio-Transporte aos Servidores e Empregados;20110027;No Estado de Alagoas;0700;Servidor beneficiado;4;unidade
2008;831345;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;362;Ensino Médio;1061;Brasil Escolarizado;29910000;Funcionamento do Ensino Médio na Rede Federal;29910027;No Estado de Alagoas;0014;Aluno matriculado;1;unidade
2008;891406;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1H100000;Expansão da Rede Federal de Educação Profissional e Tecnológica;1H100327;No Município de Arapiraca - AL;AAGA;Unidade de ensino implantada;1;unidade
2008;891407;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1H100000;Expansão da Rede Federal de Educação Profissional e Tecnológica;1H100457;No Município de Maragogi - AL;AAGA;Unidade de ensino implantada;1;unidade
2008;891405;10;26000O;Ministério da Educação;26202U;Centro Federal de Educação Tecnológica de Alagoas;12;Educação;363;Ensino Profissional;1062;Desenvolvimento da Educação Profissional e Tecnológica;1H100000;Expansão da Rede Federal de Educação Profissional e Tecnológica;1H100495;No Município de Penedo - AL;AAGA;Unidade de ensino implantada;1;unidade
